"Initiated payment process.","Initiated payment process."
"You will be redirected to the payment gateway in a few seconds.","You will be redirected to the payment gateway in a few seconds."
"Payment Status: Success.","Payment Status: Success."
"Response Code %s: %s.","Response Code %s: %s."
"Selected currency (%s) is not compatible with this payment method.","Selected currency (%s) is not compatible with this payment method."
"Payment request failed. Please contact the merchant.","Payment request failed. Please contact the merchant."
"Order %s","Order %s"
"Automatic invoice.","Automatic invoice."
"Payment failed. Please try again.","Payment failed. Please try again."
"Transaction ID: %s","Transaction ID: %s"
"Issuer","Issuer"
"--Please Select--","--Please Select--"
"You will be redirected to the payment gateway after placing an order.","You will be redirected to the payment gateway after placing an order."
"Use Base Currency","Use Base Currency"
"Disable to use currency from user session.","Disable to use currency from user session."
"Pending Payment Status","Pending Payment Status"
"Processing Order Status","Processing Order Status"
"Test Mode","Test Mode"
"Debug Mode","Debug Mode"
"See database table <em>targetpay_api_debug</em>.","See database table <em>targetpay_api_debug</em>."
"Send Order Email","Send Order Email"
"Create Invoice","Create Invoice"
"Send Invoice Email","Send Invoice Email"
"Morningtime TargetPay Settings","Morningtime TargetPay Settings"
"TargetPay Sub Account (layoutcode)","TargetPay Sub Account (layoutcode)"
