"Groups - Flexslider","Groups - Flexslider"
"Slides - Flexslider","Slides - Flexslider"
"Save And Continue Edit","Save And Continue Edit"
"Edit Group '%s'","Edit Group '%s'"
"Add Group","Add Group"
"ID","ID"
"Title","Title"
"Position","Position"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Flexslider - Groups","Flexslider - Groups"
"General Information","General Information"
"Display on Pages","Display on Pages"
"Display on Categories","Display on Categories"
"Slides of this Group","Slides of this Group"
"Use Code Inserts","Use Code Inserts"
"Root","Root"
"Code","Code"
"a unique identifier that is used to inject the slide group via XML","a unique identifier that is used to inject the slide group via XML"
"Sort Order","Sort Order"
"set the sort order in case of multiple sliders on one page","set the sort order in case of multiple sliders on one page"
"Is Enabled","Is Enabled"
"Visible In","Visible In"
"Slider Style","Slider Style"
"Maximum Width Slider","Maximum Width Slider"
"maximum width of the slider in pixels, leave empty or 0 for full responsive width","maximum width of the slider in pixels, leave empty or 0 for full responsive width"
"Slider Theme","Slider Theme"
"Slider Type","Slider Type"
"Thumbnail Width","Thumbnail Width"
"width of the images in carousel, should not be larger then thumbnail upload width in general settings (default is 200)","width of the images in carousel, should not be larger then thumbnail upload width in general settings (default is 200)"
"Show Navigation Arrows","Show Navigation Arrows"
"Navigation Arrows Style","Navigation Arrows Style"
"Navigation Arrows Position","Navigation Arrows Position"
"Navigation Arrows Color","Navigation Arrows Color"
"Show Pagination","Show Pagination"
"Pagination Style","Pagination Style"
"Pagination Position","Pagination Position"
"Slider Effects","Slider Effects"
"Auto Start Animation","Auto Start Animation"
"Pause Slider On Navigation","Pause Slider On Navigation"
"Pause Slider On Hover","Pause Slider On Hover"
"Animation Type","Animation Type"
"Animation Duration","Animation Duration"
"in milliseconds (default is 600)","in milliseconds (default is 600)"
"Animation Direction","Animation Direction"
"Slide Duration","Slide Duration"
"in milliseconds (default is 7000)","in milliseconds (default is 7000)"
"Random Order","Random Order"
"Smooth Height","Smooth Height"
"allow slider to scale height if slider images differ in height","allow slider to scale height if slider images differ in height"
"Group Pages","Group Pages"
"Edit Slide '%s'","Edit Slide '%s'"
"Add Slide","Add Slide"
"Group","Group"
"Flexslider - Slides","Flexslider - Slides"
"General","General"
"Use External Image Hosting","Use External Image Hosting"
"instead of uploading images you can host your images on a image hoster and just enter the link to the image and thumbnail","instead of uploading images you can host your images on a image hoster and just enter the link to the image and thumbnail"
"Hosted Image URL","Hosted Image URL"
"Hosted Image Thumb URL","Hosted Image Thumb URL"
"you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels","you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels"
"Image","Image"
"ALT Text","ALT Text"
"URL","URL"
"URL Target","URL Target"
"Description","Description"
"-- Please Select --","-- Please Select --"
"Edit ","Edit "
"Create a Group","Create a Group"
"Group was successfully saved","Group was successfully saved"
"Unable to find group to save","Unable to find group to save"
"Group was successfully deleted","Group was successfully deleted"
"Please select group(s)","Please select group(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Slide was saved","Slide was saved"
"There was no data to save","There was no data to save"
"The slide was deleted.","The slide was deleted."
"Please select some slides.","Please select some slides."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been edited.","Total of %d record(s) have been edited."
"Content Top","Content Top"
"Content Bottom","Content Bottom"
